0, 5999
1, 9319
2, 15577
3, 17802
4, 20106
5, 23531
6, 25481
7, 26798
8, 29199
9, 31943
10, 32134
11, 31919
12, 33502
13, 33372
14, 33196
15, 34717
16, 32727
17, 32946
18, 33026
19, 33670
20, 36186
21, 34122
22, 32488
23, 31562
24, 32118
25, 32201
26, 29545
27, 31709
28, 30554
29, 30544
30, 33717
31, 32970
32, 33278
33, 31021
34, 29834
35, 29785
36, 29209
37, 28730
38, 28212
39, 27060
40, 25716
41, 24860
42, 27145
43, 25923
44, 25047
45, 25280
46, 25293
47, 24766
48, 23250
49, 24296
50, 24285
51, 23210
52, 23915
53, 24678
54, 23353
55, 22630
56, 24025
57, 23094
58, 22738
59, 23524
60, 22929
61, 23180
62, 22536
63, 22358
64, 22692
65, 23528
66, 23181
67, 22517
68, 22239
69, 21238
70, 21743
71, 22016
72, 21435
73, 21424
74, 22382
75, 21323
76, 21973
77, 21574
78, 21214
79, 20177
80, 21557
81, 22304
82, 21511
83, 20344
84, 21043
85, 21912
86, 21761
87, 22387
88, 21310
89, 21331
90, 20576
91, 20965
92, 20802
93, 21650
94, 21335
95, 21821
96, 21215
97, 20351
98, 20595
99, 19857
100, 21463
